equipmentId,type,engineHoursPerDay,idleHoursPerDay,rentalDays,hasOperator,hasSite,idleRatio,isAnomaly,anomalyReason
CAT-DT-1050,Dump Truck,22.72,3.09,25,1,1,0.1197,0,
CAT-EX-1051,Excavator,19.12,3.26,25,1,1,0.1455,0,
CAT-BD-1052,Bulldozer,20.72,2.89,25,1,1,0.1223,0,
CAT-MG-1053,Motor Grader,23.12,2.77,25,1,1,0.107,0,
CAT-WL-1054,Wheel Loader,18.72,3.82,25,1,1,0.1694,0,
CAT-BL-1055,Backhoe Loader,20.32,3.79,25,1,1,0.1571,0,
CAT-SL-1056,Skid Steer Loader,19.12,2.53,25,1,1,0.117,0,
CAT-CR-1057,Crane,19.52,2.75,25,1,1,0.1236,0,
CAT-AP-1058,Asphalt Paver,23.92,2.97,25,1,1,0.1104,0,
CAT-CO-1059,Compactor,21.92,3.52,25,1,1,0.1382,0,
CAT-EX-1061,Excavator,20.72,3.06,25,1,1,0.1287,0,
CAT-BD-1062,Bulldozer,27.52,2.79,25,1,1,0.0919,0,
CAT-WL-1064,Wheel Loader,18.72,3.08,25,1,1,0.1413,0,
CAT-BL-1065,Backhoe Loader,20.32,4.07,25,1,1,0.1668,0,
CAT-CR-1067,Crane,24.32,3.36,25,1,1,0.1213,0,
CAT-AP-1068,Asphalt Paver,23.92,3.42,25,1,1,0.1251,0,
CAT-CO-1069,Compactor,24.32,3.51,25,1,1,0.1263,0,
CAT-DT-1070,Dump Truck,17.52,2.74,25,1,1,0.1353,0,
CAT-BD-1072,Bulldozer,21.52,3.54,25,1,1,0.1412,0,
CAT-WL-1074,Wheel Loader,23.92,2.82,25,1,1,0.1055,0,
CAT-BL-1075,Backhoe Loader,19.52,3.58,25,1,1,0.1551,0,
CAT-SL-1076,Skid Steer Loader,20.72,3.32,25,1,1,0.138,0,
CAT-CR-1077,Crane,22.32,3.12,25,1,1,0.1226,0,
CAT-AP-1078,Asphalt Paver,22.32,2.9,25,1,1,0.1148,0,
CAT-CO-1079,Compactor,23.92,2.87,25,1,1,0.1072,0,
CAT-DT-1080,Dump Truck,20.32,2.91,25,1,1,0.1253,0,
CAT-EX-1081,Excavator,17.92,3.24,25,1,1,0.153,0,
CAT-MG-1083,Motor Grader,18.72,3.63,25,1,1,0.1623,0,
CAT-WL-1084,Wheel Loader,21.52,2.93,25,1,1,0.1199,0,
CAT-BL-1085,Backhoe Loader,24.72,2.52,25,1,1,0.0926,0,
CAT-CR-1087,Crane,23.52,3.59,25,1,1,0.1325,0,
CAT-AP-1088,Asphalt Paver,21.92,2.82,25,1,1,0.1139,0,
CAT-DT-1090,Dump Truck,25.92,3.01,25,1,1,0.1041,0,
CAT-EX-1091,Excavator,25.92,3.65,25,1,1,0.1234,0,
CAT-BD-1092,Bulldozer,23.12,3.19,25,1,1,0.1212,0,
CAT-MG-1093,Motor Grader,20.72,3.25,25,1,1,0.1355,0,
CAT-WL-1094,Wheel Loader,21.92,2.75,25,1,1,0.1114,0,
CAT-BL-1095,Backhoe Loader,21.12,3.3,25,1,1,0.1352,0,
CAT-SL-1096,Skid Steer Loader,19.92,3.0,25,1,1,0.1309,0,
CAT-CR-1097,Crane,19.92,2.93,25,1,1,0.1284,0,
CAT-AP-1098,Asphalt Paver,19.92,2.45,25,1,1,0.1094,0,
CAT-CO-1099,Compactor,22.72,3.29,25,1,1,0.1264,0,
CAT-DT-1100,Dump Truck,18.32,3.72,25,1,1,0.1686,0,
CAT-BD-1002,Bulldozer,19.02,3.48,26,1,1,0.1547,0,
CAT-MG-1003,Motor Grader,23.76,2.93,27,1,1,0.1097,0,
CAT-WL-1004,Wheel Loader,19.41,2.8,26,1,1,0.1262,0,
CAT-SL-1006,Skid Steer Loader,22.87,3.39,26,1,1,0.129,0,
CAT-CR-1007,Crane,21.72,2.66,26,1,1,0.1093,0,
CAT-AP-1008,Asphalt Paver,20.95,3.16,26,1,1,0.1311,0,
CAT-CO-1009,Compactor,24.8,3.07,26,1,1,0.11,0,
CAT-DT-1010,Dump Truck,20.57,3.49,26,1,1,0.1449,0,
CAT-EX-1011,Excavator,21.34,3.0,26,1,1,0.1232,0,
CAT-BD-1012,Bulldozer,22.49,3.14,26,1,1,0.1224,0,
CAT-MG-1013,Motor Grader,19.03,3.41,26,1,1,0.1519,0,
CAT-WL-1014,Wheel Loader,23.26,2.76,26,1,1,0.1061,0,
CAT-BL-1015,Backhoe Loader,20.05,2.65,27,1,1,0.1165,0,
CAT-SL-1016,Skid Steer Loader,20.18,3.77,26,1,1,0.1575,0,
CAT-CR-1017,Crane,23.64,3.13,26,1,1,0.1169,0,
CAT-CO-1019,Compactor,16.72,2.76,27,1,1,0.1416,0,
CAT-DT-1020,Dump Truck,17.49,3.06,26,1,1,0.1489,0,
CAT-EX-1021,Excavator,22.28,2.68,27,1,1,0.1073,0,
CAT-BD-1022,Bulldozer,24.03,3.19,26,1,1,0.1171,0,
CAT-MG-1023,Motor Grader,20.56,2.94,26,1,1,0.1251,0,
CAT-WL-1024,Wheel Loader,20.56,2.52,26,1,1,0.1091,0,
CAT-SL-1026,Skid Steer Loader,25.56,3.03,26,1,1,0.1061,0,
CAT-CR-1027,Crane,21.34,2.72,26,1,1,0.1129,0,
CAT-EX-1031,Excavator,17.87,3.12,26,1,1,0.1486,0,
CAT-BD-1032,Bulldozer,23.64,3.81,26,1,1,0.1387,0,
CAT-MG-1033,Motor Grader,23.02,3.3,27,1,1,0.1253,0,
CAT-WL-1034,Wheel Loader,23.39,2.94,27,1,1,0.1117,0,
CAT-BL-1035,Backhoe Loader,18.64,3.34,26,1,1,0.152,0,
CAT-SL-1036,Skid Steer Loader,20.95,3.78,26,1,1,0.1528,0,
CAT-AP-1038,Asphalt Paver,20.57,2.96,26,1,1,0.1259,0,
CAT-CO-1039,Compactor,20.95,3.38,26,1,1,0.1389,0,
CAT-EX-1041,Excavator,23.64,3.68,26,1,1,0.1347,0,
CAT-BD-1042,Bulldozer,24.5,3.24,27,1,1,0.1169,0,
CAT-MG-1043,Motor Grader,23.26,3.0,26,1,1,0.1144,0,
CAT-WL-1044,Wheel Loader,20.79,3.14,27,1,1,0.1313,0,
CAT-BL-1045,Backhoe Loader,19.02,2.83,26,1,1,0.1296,0,
CAT-SL-1046,Skid Steer Loader,19.8,2.91,26,1,1,0.1283,0,
CAT-CR-1047,Crane,22.1,2.76,26,1,1,0.1111,0,
CAT-AP-1048,Asphalt Paver,21.72,3.82,26,1,1,0.1495,0,
CAT-CO-1049,Compactor,23.02,3.08,27,1,1,0.118,0,
CAT-EX-1051,Excavator,22.87,3.26,26,1,1,0.1247,0,
CAT-BD-1052,Bulldozer,19.8,3.22,26,1,1,0.1398,0,
CAT-MG-1053,Motor Grader,19.79,2.98,26,1,1,0.1309,0,
CAT-WL-1054,Wheel Loader,19.8,2.88,26,1,1,0.127,0,
CAT-BL-1055,Backhoe Loader,26.72,3.62,26,1,1,0.1193,0,
CAT-SL-1056,Skid Steer Loader,23.26,3.23,26,1,1,0.1219,0,
CAT-CR-1057,Crane,21.33,3.07,26,1,1,0.1257,0,
CAT-AP-1058,Asphalt Paver,25.18,3.92,26,1,1,0.1348,0,
CAT-CO-1059,Compactor,21.72,2.79,26,1,1,0.114,0,
CAT-EX-1061,Excavator,19.79,3.01,26,1,1,0.1321,0,
CAT-BD-1062,Bulldozer,19.03,3.37,26,1,1,0.1505,0,
CAT-MG-1063,Motor Grader,21.9,2.89,27,1,1,0.1165,0,
CAT-WL-1064,Wheel Loader,18.64,3.9,26,1,1,0.173,0,
CAT-BL-1065,Backhoe Loader,21.34,3.15,26,1,1,0.1285,0,
CAT-SL-1066,Skid Steer Loader,20.42,3.35,27,1,1,0.1408,0,
CAT-CR-1067,Crane,21.34,3.31,26,1,1,0.1344,0,
CAT-AP-1068,Asphalt Paver,19.41,2.84,26,1,1,0.1276,0,
CAT-CO-1069,Compactor,23.26,3.61,26,1,1,0.1344,0,
CAT-DT-1070,Dump Truck,22.49,3.38,26,1,1,0.1308,0,
CAT-EX-1071,Excavator,24.87,3.06,27,1,1,0.1096,0,
CAT-BD-1072,Bulldozer,18.64,3.35,26,1,1,0.1522,0,
CAT-BL-1075,Backhoe Loader,18.64,3.17,26,1,1,0.1453,0,
CAT-SL-1076,Skid Steer Loader,25.95,2.78,26,1,1,0.0969,0,
CAT-CR-1077,Crane,20.57,2.76,26,1,1,0.1185,0,
CAT-AP-1078,Asphalt Paver,21.34,3.27,26,1,1,0.133,0,
CAT-CO-1079,Compactor,16.34,3.16,26,1,1,0.1622,0,
CAT-DT-1080,Dump Truck,21.72,3.27,26,1,1,0.1308,0,
CAT-EX-1081,Excavator,16.72,3.24,26,1,1,0.1623,0,
CAT-MG-1083,Motor Grader,20.57,2.71,26,1,1,0.1164,0,
CAT-WL-1084,Wheel Loader,18.26,3.26,26,1,1,0.1516,0,
CAT-BL-1085,Backhoe Loader,20.57,3.26,26,1,1,0.1367,0,
CAT-SL-1086,Skid Steer Loader,18.94,2.77,27,1,1,0.1276,0,
CAT-CR-1087,Crane,23.26,3.35,26,1,1,0.126,0,
CAT-AP-1088,Asphalt Paver,22.1,3.13,26,1,1,0.124,0,
CAT-CO-1089,Compactor,17.83,3.12,27,1,1,0.149,0,
CAT-DT-1090,Dump Truck,22.87,2.47,26,1,1,0.0974,0,
CAT-EX-1091,Excavator,22.1,2.72,26,1,1,0.1094,0,
CAT-BD-1092,Bulldozer,20.18,3.56,26,1,1,0.1498,0,
CAT-MG-1093,Motor Grader,20.18,3.3,26,1,1,0.1404,0,
CAT-WL-1094,Wheel Loader,19.41,3.29,26,1,1,0.1449,0,
CAT-BL-1095,Backhoe Loader,20.57,3.09,26,1,1,0.1306,0,
CAT-SL-1096,Skid Steer Loader,22.1,3.65,26,1,1,0.1419,0,
CAT-CR-1097,Crane,21.34,2.99,26,1,1,0.1228,0,
CAT-CO-1099,Compactor,19.79,3.9,26,1,1,0.1646,0,
CAT-EX-1001,Excavator,22.72,3.28,25,1,1,0.1262,0,
CAT-BD-1002,Bulldozer,21.52,3.16,25,1,1,0.128,0,
CAT-WL-1004,Wheel Loader,19.52,2.81,25,1,1,0.1258,0,
CAT-SL-1006,Skid Steer Loader,19.92,3.4,25,1,1,0.1459,0,
CAT-CR-1007,Crane,20.72,3.06,25,1,1,0.1287,0,
CAT-AP-1008,Asphalt Paver,22.49,2.69,26,1,1,0.107,0,
CAT-CO-1009,Compactor,19.52,2.76,25,1,1,0.1239,0,
CAT-DT-1010,Dump Truck,17.92,3.06,25,1,1,0.1459,0,
CAT-EX-1011,Excavator,21.92,3.34,25,1,1,0.1321,0,
CAT-BD-1012,Bulldozer,19.92,2.9,25,1,1,0.1269,0,
CAT-MG-1013,Motor Grader,18.32,3.85,25,1,1,0.1738,0,
CAT-WL-1014,Wheel Loader,21.52,3.24,25,1,1,0.1309,0,
CAT-BL-1015,Backhoe Loader,17.92,3.13,25,1,1,0.1485,0,
CAT-SL-1016,Skid Steer Loader,19.92,3.35,25,1,1,0.144,0,
CAT-CR-1017,Crane,21.92,3.36,25,1,1,0.133,0,
CAT-AP-1018,Asphalt Paver,18.32,2.79,25,1,1,0.1321,0,
CAT-CO-1019,Compactor,21.12,3.32,25,1,1,0.1357,0,
CAT-DT-1020,Dump Truck,20.72,3.6,25,1,1,0.1479,0,
CAT-MG-1023,Motor Grader,16.72,2.57,25,1,1,0.1331,0,
CAT-WL-1024,Wheel Loader,22.72,3.13,25,1,1,0.121,0,
CAT-BL-1025,Backhoe Loader,20.56,3.02,26,1,1,0.128,0,
CAT-SL-1026,Skid Steer Loader,21.12,3.23,25,1,1,0.1328,0,
CAT-CR-1027,Crane,19.92,2.56,25,1,1,0.114,0,
CAT-AP-1028,Asphalt Paver,20.72,3.42,25,1,1,0.1417,0,
CAT-CO-1029,Compactor,19.92,3.25,25,1,1,0.1404,0,
CAT-DT-1030,Dump Truck,19.12,3.12,25,1,1,0.1402,0,
CAT-EX-1031,Excavator,22.32,2.3,25,1,1,0.0932,0,
CAT-MG-1033,Motor Grader,22.32,2.62,25,1,1,0.105,0,
CAT-WL-1034,Wheel Loader,25.12,3.44,25,1,1,0.1206,0,
CAT-BL-1035,Backhoe Loader,19.52,4.09,25,1,1,0.1731,0,
CAT-SL-1036,Skid Steer Loader,16.72,2.25,25,1,1,0.1186,0,
CAT-CR-1037,Crane,19.52,3.68,25,1,1,0.1585,0,
CAT-CO-1039,Compactor,17.52,2.74,25,1,1,0.135,0,
CAT-EX-1041,Excavator,17.92,3.02,25,1,1,0.1443,0,
CAT-BD-1042,Bulldozer,21.12,2.43,25,1,1,0.1034,0,
CAT-MG-1043,Motor Grader,21.92,3.56,25,1,1,0.1397,0,
CAT-SL-1046,Skid Steer Loader,17.92,3.67,25,1,1,0.17,0,
CAT-CR-1047,Crane,23.92,3.56,25,1,1,0.1296,0,
CAT-CO-1049,Compactor,24.32,3.26,25,1,1,0.1183,0,
CAT-DT-1050,Dump Truck,18.32,3.29,25,1,1,0.1521,0,
CAT-EX-1051,Excavator,17.92,3.99,25,1,1,0.1819,0,
CAT-BD-1052,Bulldozer,19.92,3.19,25,1,1,0.1379,0,
CAT-WL-1054,Wheel Loader,17.52,3.32,25,1,1,0.1593,0,
CAT-BL-1055,Backhoe Loader,23.52,3.57,25,1,1,0.1319,0,
CAT-SL-1056,Skid Steer Loader,25.52,2.46,25,1,1,0.0879,0,
CAT-CR-1057,Crane,22.32,3.55,25,1,1,0.1372,0,
CAT-AP-1058,Asphalt Paver,19.92,2.72,25,1,1,0.1203,0,
CAT-CO-1059,Compactor,18.32,3.64,25,1,1,0.1656,0,
CAT-EX-1061,Excavator,20.32,3.26,25,1,1,0.1383,0,
CAT-BD-1062,Bulldozer,18.32,2.8,25,1,1,0.1324,0,
CAT-MG-1063,Motor Grader,22.72,2.57,25,1,1,0.1015,0,
CAT-WL-1064,Wheel Loader,21.12,2.67,25,1,1,0.1122,0,
CAT-BL-1065,Backhoe Loader,21.92,2.62,25,1,1,0.1068,0,
CAT-SL-1066,Skid Steer Loader,19.12,2.86,25,1,1,0.1301,0,
CAT-CR-1067,Crane,23.52,3.34,25,1,1,0.1243,0,
CAT-AP-1068,Asphalt Paver,20.72,3.95,25,1,1,0.1602,0,
CAT-CO-1069,Compactor,20.32,3.5,25,1,1,0.147,0,
CAT-DT-1070,Dump Truck,19.12,3.47,25,1,1,0.1536,0,
CAT-EX-1071,Excavator,19.92,3.67,25,1,1,0.1556,0,
CAT-BD-1072,Bulldozer,21.12,3.08,25,1,1,0.1274,0,
CAT-MG-1073,Motor Grader,19.03,2.94,26,1,1,0.134,0,
CAT-WL-1074,Wheel Loader,21.52,2.84,25,1,1,0.1167,0,
CAT-BL-1075,Backhoe Loader,23.52,3.04,25,1,1,0.1144,0,
CAT-SL-1076,Skid Steer Loader,21.12,2.85,25,1,1,0.1191,0,
CAT-CR-1077,Crane,19.92,2.71,25,1,1,0.1197,0,
CAT-CO-1079,Compactor,21.92,2.31,25,1,1,0.0955,0,
CAT-EX-1081,Excavator,25.92,3.11,25,1,1,0.1073,0,
CAT-BD-1082,Bulldozer,23.26,3.3,26,1,1,0.1243,0,
CAT-MG-1083,Motor Grader,22.32,3.02,25,1,1,0.1192,0,
CAT-WL-1084,Wheel Loader,21.52,3.2,25,1,1,0.1294,0,
CAT-BL-1085,Backhoe Loader,19.12,2.91,25,1,1,0.132,0,
CAT-SL-1086,Skid Steer Loader,21.12,2.9,25,1,1,0.1206,0,
CAT-CR-1087,Crane,19.92,3.02,25,1,1,0.1315,0,
CAT-AP-1088,Asphalt Paver,23.52,3.93,25,1,1,0.143,0,
CAT-CO-1089,Compactor,22.32,2.93,25,1,1,0.1162,0,
CAT-DT-1090,Dump Truck,22.72,3.31,25,1,1,0.1271,0,
CAT-EX-1091,Excavator,19.52,3.55,25,1,1,0.1539,0,
CAT-BD-1092,Bulldozer,21.52,3.1,25,1,1,0.1257,0,
CAT-WL-1094,Wheel Loader,24.32,3.73,25,1,1,0.133,0,
CAT-CR-1097,Crane,23.92,2.75,25,1,1,0.103,0,
CAT-AP-1098,Asphalt Paver,25.12,2.8,25,1,1,0.1004,0,
CAT-CO-1099,Compactor,22.72,3.23,25,1,1,0.1244,0,
CAT-BL-1005,Backhoe Loader,5.0,1.5,28,1,1,0.2308,0,
CAT-EX-1021,Excavator,5.0,1.5,28,1,1,0.2308,0,
CAT-WL-1044,Wheel Loader,5.0,1.5,28,1,1,0.2308,0,
CAT-BL-1045,Backhoe Loader,5.0,1.5,28,1,1,0.2308,0,
CAT-AP-1048,Asphalt Paver,5.0,1.5,28,1,1,0.2308,0,
CAT-DT-1080,Dump Truck,5.0,1.5,28,1,1,0.2308,0,
